Status,Source Unit,Destination Unit,Source Clock Domain,Destination Clock Domain,Local Source Clock,Local Destination Clock,Pair Classification,Violation,Scheme,Id,Domain Crossing,Number of Pair Bits
Passed,u_FIFO_syn.wptr[5],u_FIFO_syn.w_to_r.genblk1[5].u_NDFF_syn.A1,clk2,clk1,clk2,clk1,Control,,u_FIFO_syn.rdata,1,{clk2 clk1},1
Passed,u_Conv.image_row[1][2],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,2,{clk2 clk1},24
Passed,u_Conv.kernel[0][2],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,3,{clk2 clk1},24
Passed,u_FIFO_syn.wptr[3],u_FIFO_syn.w_to_r.genblk1[3].u_NDFF_syn.A1,clk2,clk1,clk2,clk1,Control,,u_FIFO_syn.rdata,4,{clk2 clk1},1
Passed,u_FIFO_syn.rptr[6],u_FIFO_syn.r_to_w.genblk1[6].u_NDFF_syn.A1,clk1,clk2,clk1,clk2,Control,,u_FIFO_syn.rdata,5,{clk1 clk2},1
Passed,u_FIFO_syn.wptr[6],u_FIFO_syn.w_to_r.genblk1[6].u_NDFF_syn.A1,clk2,clk1,clk2,clk1,Control,,u_FIFO_syn.rdata,6,{clk2 clk1},1
Passed,u_Handshake_syn.sreq,u_Handshake_syn.U_NDFF_req.A1,clk1,clk2,clk1,clk2,Control,,u_Handshake_syn.din,7,{clk1 clk2},1
Passed,u_FIFO_syn.wptr[1],u_FIFO_syn.w_to_r.genblk1[1].u_NDFF_syn.A1,clk2,clk1,clk2,clk1,Control,,u_FIFO_syn.rdata,8,{clk2 clk1},1
Passed,u_FIFO_syn.wptr[0],u_FIFO_syn.w_to_r.genblk1[0].u_NDFF_syn.A1,clk2,clk1,clk2,clk1,Control,,u_FIFO_syn.rdata,9,{clk2 clk1},1
Passed,u_Handshake_syn.dack,u_Handshake_syn.U_NDFF_ack.A1,clk2,clk1,clk2,clk1,Control,,u_Handshake_syn.din,10,{clk2 clk1},1
Passed,u_FIFO_syn.rptr[5],u_FIFO_syn.r_to_w.genblk1[5].u_NDFF_syn.A1,clk1,clk2,clk1,clk2,Control,,u_FIFO_syn.rdata,11,{clk1 clk2},1
Passed,u_FIFO_syn.rptr[4],u_FIFO_syn.r_to_w.genblk1[4].u_NDFF_syn.A1,clk1,clk2,clk1,clk2,Control,,u_FIFO_syn.rdata,12,{clk1 clk2},1
Passed,u_Conv.image_row[3][2],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,13,{clk2 clk1},24
Passed,u_Conv.image_row[5][0],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,14,{clk2 clk1},24
Passed,u_Conv.cnt_col,u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,15,{clk2 clk1},40
Passed,u_FIFO_syn.rptr[1],u_FIFO_syn.r_to_w.genblk1[1].u_NDFF_syn.A1,clk1,clk2,clk1,clk2,Control,,u_FIFO_syn.rdata,16,{clk1 clk2},1
Passed,u_FIFO_syn.w_addr[5:0],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,17,{clk2 clk1},48
Passed,u_Conv.image_row[5][1],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,18,{clk2 clk1},24
Passed,u_Conv.kernel[3][3],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,19,{clk2 clk1},24
Passed,u_Conv.image_row[4][0],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,21,{clk2 clk1},24
Passed,u_FIFO_syn.rptr[2],u_FIFO_syn.r_to_w.genblk1[2].u_NDFF_syn.A1,clk1,clk2,clk1,clk2,Control,,u_FIFO_syn.rdata,22,{clk1 clk2},1
Passed,u_Conv.image_row[5][2],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,23,{clk2 clk1},24
Passed,u_FIFO_syn.wptr[2],u_FIFO_syn.w_to_r.genblk1[2].u_NDFF_syn.A1,clk2,clk1,clk2,clk1,Control,,u_FIFO_syn.rdata,24,{clk2 clk1},1
Passed,u_input_output.handshake_din,u_Handshake_syn.dout,clk1,clk2,clk1,clk2,Data,,u_Handshake_syn.din,25,{clk1 clk2},30
Passed,clk2,u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,26,{clk2 clk1},8
Passed,u_FIFO_syn.wfull,u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,27,{clk2 clk1},8
Passed,u_FIFO_syn.wptr[4],u_FIFO_syn.w_to_r.genblk1[4].u_NDFF_syn.A1,clk2,clk1,clk2,clk1,Control,,u_FIFO_syn.rdata,28,{clk2 clk1},1
Passed,u_Conv.c_s[1:0],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,29,{clk2 clk1},16
Passed,u_FIFO_syn.rptr[0],u_FIFO_syn.r_to_w.genblk1[0].u_NDFF_syn.A1,clk1,clk2,clk1,clk2,Control,,u_FIFO_syn.rdata,31,{clk1 clk2},1
Passed,u_Conv.image_row[3][0],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,32,{clk2 clk1},24
Passed,u_Conv.kernel[1][1],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,35,{clk2 clk1},24
Passed,u_Conv.kernel[0][1],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,36,{clk2 clk1},24
Passed,u_Conv.kernel[5][1],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,37,{clk2 clk1},24
Passed,u_FIFO_syn.rptr[3],u_FIFO_syn.r_to_w.genblk1[3].u_NDFF_syn.A1,clk1,clk2,clk1,clk2,Control,,u_FIFO_syn.rdata,38,{clk1 clk2},1
Passed,u_Conv.kernel[4][1],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,39,{clk2 clk1},24
Passed,u_Conv.kernel[3][1],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,40,{clk2 clk1},24
Passed,u_Conv.kernel[2][1],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,41,{clk2 clk1},24
Passed,u_Conv.image_row[5][5],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,42,{clk2 clk1},24
Passed,u_Conv.image_row[4][5],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,43,{clk2 clk1},24
Passed,u_Conv.image_row[3][5],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,44,{clk2 clk1},24
Passed,u_Conv.image_row[2][5],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,45,{clk2 clk1},24
Passed,u_Conv.image_row[1][5],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,46,{clk2 clk1},24
Passed,u_Conv.image_row[0][5],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,47,{clk2 clk1},24
Passed,u_Conv.image_row[5][4],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,48,{clk2 clk1},24
Passed,u_Conv.image_row[4][4],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,49,{clk2 clk1},24
Passed,u_Conv.image_row[3][4],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,50,{clk2 clk1},24
Passed,u_Conv.image_row[2][4],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,51,{clk2 clk1},24
Passed,u_Conv.image_row[1][4],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,52,{clk2 clk1},24
Passed,u_Conv.image_row[0][4],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,53,{clk2 clk1},24
Passed,u_Conv.image_row[5][3],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,54,{clk2 clk1},24
Passed,u_Conv.image_row[4][3],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,55,{clk2 clk1},24
Passed,u_Conv.image_row[3][3],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,56,{clk2 clk1},24
Passed,u_Conv.image_row[2][3],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,57,{clk2 clk1},24
Passed,u_Conv.image_row[1][3],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,58,{clk2 clk1},24
Passed,u_Conv.image_row[0][3],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,59,{clk2 clk1},24
Passed,u_Conv.image_row[4][2],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,60,{clk2 clk1},24
Passed,u_Conv.image_row[0][2],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,61,{clk2 clk1},24
Passed,u_Conv.image_row[4][1],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,62,{clk2 clk1},24
Passed,u_Conv.image_row[3][1],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,63,{clk2 clk1},24
Passed,u_Conv.image_row[2][1],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,64,{clk2 clk1},24
Passed,u_Conv.image_row[0][1],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,65,{clk2 clk1},24
Passed,u_Conv.image_row[1][0],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,66,{clk2 clk1},24
Passed,u_Conv.image_row[0][0],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,67,{clk2 clk1},24
Passed,u_Conv.cnt_kernel,u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,68,{clk2 clk1},24
Passed,u_Conv.cnt_row,u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,69,{clk2 clk1},24
Passed,u_Conv.kernel[1][0],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,70,{clk2 clk1},24
Passed,u_Conv.kernel[0][0],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,71,{clk2 clk1},24
Passed,u_Conv.kernel[5][0],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,72,{clk2 clk1},24
Passed,u_Conv.kernel[4][0],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,73,{clk2 clk1},24
Passed,u_Conv.image_row[2][2],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,74,{clk2 clk1},24
Passed,u_Conv.kernel[3][0],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,75,{clk2 clk1},24
Passed,u_Conv.kernel[2][0],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,76,{clk2 clk1},24
Passed,u_Conv.kernel[1][2],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,77,{clk2 clk1},24
Passed,u_Conv.kernel[5][2],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,78,{clk2 clk1},24
Passed,u_Conv.kernel[4][2],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,79,{clk2 clk1},24
Passed,u_Conv.kernel[3][2],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,80,{clk2 clk1},24
Passed,u_Conv.image_row[2][0],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,81,{clk2 clk1},24
Passed,u_Conv.kernel[2][2],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,82,{clk2 clk1},24
Passed,u_Conv.kernel[1][3],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,83,{clk2 clk1},24
Passed,u_Conv.image_row[1][1],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,84,{clk2 clk1},24
Passed,u_Conv.kernel[0][3],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,85,{clk2 clk1},24
Passed,u_Conv.kernel[5][3],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,86,{clk2 clk1},24
Passed,u_Conv.kernel[4][3],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,87,{clk2 clk1},24
Passed,u_Conv.kernel[2][3],u_FIFO_syn.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn.rdata,88,{clk2 clk1},24
